date,ticker,y_true,y_pred
2020-09-09,BBVA,2.517000,2.769768
2020-09-10,BBVA,2.514000,2.769362
2020-09-11,BBVA,2.435000,2.748628
2020-09-14,BBVA,2.490000,2.743955
2020-09-15,BBVA,2.413000,2.725161
2020-09-16,BBVA,2.429000,2.709597
2020-09-17,BBVA,2.418000,2.693654
2020-09-18,BBVA,2.311000,2.586709
2020-09-21,BBVA,2.164000,2.539328
2020-09-22,BBVA,2.160000,2.518642
2020-09-23,BBVA,2.169000,2.514669
2020-09-24,BBVA,2.284000,2.533577
2020-09-25,BBVA,2.292000,2.555022
2020-09-28,BBVA,2.384000,2.596529
2020-09-29,BBVA,2.331000,2.608821
2020-09-30,BBVA,2.372000,2.618446
2020-10-01,BBVA,2.377000,2.623488
2020-10-02,BBVA,2.378000,2.624121
2020-10-05,BBVA,2.404000,2.627001
2020-10-06,BBVA,2.477000,2.642061
2020-10-07,BBVA,2.413000,2.641394
2020-10-08,BBVA,2.435000,2.647799
2020-10-09,BBVA,2.390000,2.640815
2020-10-12,BBVA,2.352000,2.626890
2020-10-13,BBVA,2.258000,2.590998
2020-10-14,BBVA,2.268000,2.562918
2020-10-15,BBVA,2.257000,2.548118
2020-10-16,BBVA,2.334000,2.563612
2020-10-19,BBVA,2.356000,2.588266
2020-10-20,BBVA,2.428000,2.622271
2020-10-21,BBVA,2.394000,2.637506
2020-10-22,BBVA,2.427000,2.647183
2020-10-23,BBVA,2.495000,2.665887
2020-10-26,BBVA,2.436000,2.656720
2020-10-27,BBVA,2.406000,2.634992
2020-10-28,BBVA,2.366000,2.605390
2020-10-29,BBVA,2.339000,2.585807
2020-10-30,BBVA,2.462000,2.608686
2020-11-02,BBVA,2.499000,2.645524
2020-11-03,BBVA,2.631000,2.698908
2020-11-04,BBVA,2.456000,2.671901
2020-11-05,BBVA,2.560000,2.672049
2020-11-06,BBVA,2.486000,2.671414
2020-11-09,BBVA,2.900000,2.719599
2020-11-10,BBVA,3.091000,2.806247
2020-11-11,BBVA,3.143000,2.898726
2020-11-12,BBVA,3.090000,2.945247
2020-11-13,BBVA,3.174000,2.992283
2020-11-16,BBVA,3.658000,3.100352
2020-11-17,BBVA,3.497000,3.167431
2020-11-18,BBVA,3.511000,3.220789
2020-11-19,BBVA,3.572000,3.276103
2020-11-20,BBVA,3.599000,3.337307
2020-11-23,BBVA,3.630000,3.407393
2020-11-24,BBVA,3.776000,3.489738
2020-11-25,BBVA,3.785000,3.563058
2020-11-26,BBVA,3.770000,3.613591
2020-11-27,BBVA,3.958000,3.679573
2020-11-30,BBVA,3.930000,3.729364
2020-12-01,BBVA,4.005000,3.776438
2020-12-02,BBVA,4.080000,3.831625
2020-12-03,BBVA,4.078000,3.887519
2020-12-04,BBVA,4.304000,3.960631
2020-12-07,BBVA,4.200000,4.001332
2020-12-08,BBVA,4.155000,4.023613
2020-12-09,BBVA,4.155000,4.047734
2020-12-10,BBVA,4.054000,4.038831
2020-12-11,BBVA,3.971000,4.003356
2020-12-14,BBVA,4.028000,4.007899
2020-12-15,BBVA,4.099000,4.046688
2020-12-16,BBVA,4.056000,4.074351
2020-12-17,BBVA,4.059000,4.097021
2020-12-18,BBVA,4.054000,4.101474
2020-12-21,BBVA,3.881000,4.053969
2020-12-22,BBVA,3.966000,4.047693
2020-12-23,BBVA,4.081000,4.080983
2020-12-24,BBVA,4.100000,4.130346
2020-12-28,BBVA,4.078000,4.159084
2020-12-29,BBVA,4.068000,4.173789
2020-12-30,BBVA,4.074000,4.185364
2020-12-31,BBVA,4.035000,4.179776
2021-01-04,BBVA,4.078000,4.184110
2021-01-05,BBVA,4.074000,4.189268
2021-01-06,BBVA,4.309000,4.246466
2021-01-07,BBVA,4.352000,4.307019
2021-01-08,BBVA,4.276000,4.316841
2021-01-11,BBVA,4.251000,4.303353
2021-01-12,BBVA,4.256000,4.300008
2021-01-13,BBVA,4.196000,4.277536
2021-01-14,BBVA,4.174000,4.255489
2021-01-15,BBVA,4.088000,4.203444
2021-01-18,BBVA,4.140000,4.202016
2021-01-19,BBVA,4.022000,4.179618
2021-01-20,BBVA,4.051000,4.177400
2021-01-21,BBVA,4.035000,4.178993
2021-01-22,BBVA,4.002000,4.171011
2021-01-25,BBVA,3.887000,4.138938
2021-01-26,BBVA,3.944000,4.137581
2021-01-27,BBVA,3.835000,4.107898
2021-01-28,BBVA,3.941000,4.115878
2021-01-29,BBVA,3.767000,4.081546
2021-02-01,BBVA,3.758000,4.050875
2021-02-02,BBVA,3.984000,4.085121
2021-02-03,BBVA,4.016000,4.136596
2021-02-04,BBVA,4.317000,4.228572
2021-02-05,BBVA,4.421000,4.313587
2021-02-08,BBVA,4.489000,4.381880
2021-02-09,BBVA,4.378000,4.386752
2021-02-10,BBVA,4.394000,4.372290
2021-02-11,BBVA,4.382000,4.362887
2021-02-12,BBVA,4.400000,4.358272
2021-02-15,BBVA,4.566000,4.404340
2021-02-16,BBVA,4.507000,4.435308
2021-02-17,BBVA,4.448000,4.444417
2021-02-18,BBVA,4.449000,4.458969
2021-02-19,BBVA,4.505000,4.491504
2021-02-22,BBVA,4.474000,4.510790
2021-02-23,BBVA,4.590000,4.550205
2021-02-24,BBVA,4.630000,4.600283
2021-02-25,BBVA,4.704000,4.653668
2021-02-26,BBVA,4.603000,4.646852
2021-03-01,BBVA,4.610000,4.646147
2021-03-02,BBVA,4.563000,4.630462
2021-03-03,BBVA,4.699000,4.657429
2021-03-04,BBVA,4.673000,4.678272
2021-03-05,BBVA,4.703000,4.702315
2021-03-08,BBVA,4.800000,4.751296
2021-03-09,BBVA,4.712000,4.751456
2021-03-10,BBVA,4.650000,4.727412
2021-03-11,BBVA,4.674000,4.725105
2021-03-12,BBVA,4.775000,4.758969
2021-03-15,BBVA,4.699000,4.763761
2021-03-16,BBVA,4.674000,4.756984
2021-03-17,BBVA,4.771000,4.786522
2021-03-18,BBVA,4.864000,4.840199
2021-03-19,BBVA,4.678000,4.808897
2021-03-22,BBVA,4.317000,4.663828
2021-03-23,BBVA,4.337000,4.569494
2021-03-24,BBVA,4.395000,4.536746
2021-03-25,BBVA,4.356000,4.524510
2021-03-26,BBVA,4.433000,4.546610
2021-03-29,BBVA,4.367000,4.551749
2021-03-30,BBVA,4.499000,4.588755
2021-03-31,BBVA,4.426000,4.602920
2021-04-01,BBVA,4.445500,4.616241
2021-04-06,BBVA,4.526500,4.646193
2021-04-07,BBVA,4.518000,4.663002
2021-04-08,BBVA,4.538500,4.674379
2021-04-09,BBVA,4.431000,4.648784
2021-04-12,BBVA,4.477000,4.636245
2021-04-13,BBVA,4.421000,4.618737
2021-04-14,BBVA,4.485500,4.625068
2021-04-15,BBVA,4.337500,4.593728
2021-04-16,BBVA,4.362500,4.568114
2021-04-19,BBVA,4.513500,4.595818
2021-04-20,BBVA,4.312500,4.569679
2021-04-21,BBVA,4.285500,4.529474
2021-04-22,BBVA,4.400500,4.536159
2021-04-23,BBVA,4.333000,4.533343
2021-04-26,BBVA,4.478500,4.563477
2021-04-27,BBVA,4.485000,4.588728
2021-04-28,BBVA,4.492500,4.606612
2021-04-29,BBVA,4.550500,4.632110
2021-04-30,BBVA,4.670500,4.675175
2021-05-03,BBVA,4.676000,4.711877
2021-05-04,BBVA,4.665000,4.722103
2021-05-05,BBVA,4.772500,4.755073
2021-05-06,BBVA,4.806500,4.787808
2021-05-07,BBVA,4.821500,4.811585
2021-05-10,BBVA,4.928000,4.855230
2021-05-11,BBVA,4.909000,4.878220
2021-05-12,BBVA,4.903000,4.885625
2021-05-13,BBVA,4.892000,4.884097
2021-05-14,BBVA,5.028000,4.923625
2021-05-17,BBVA,5.008000,4.952650
2021-05-18,BBVA,5.125000,5.002489
2021-05-19,BBVA,4.995500,4.981621
2021-05-20,BBVA,5.003000,4.973691
2021-05-21,BBVA,5.121000,5.010076
2021-05-24,BBVA,5.100000,5.041408
2021-05-25,BBVA,5.110000,5.071859
2021-05-26,BBVA,5.084000,5.080206
2021-05-27,BBVA,5.143000,5.103964
2021-05-28,BBVA,5.126000,5.126110
2021-05-31,BBVA,5.136000,5.150141
2021-06-01,BBVA,5.226000,5.193786
2021-06-02,BBVA,5.249000,5.223557
2021-06-03,BBVA,5.286000,5.255758
2021-06-04,BBVA,5.217000,5.236432
2021-06-07,BBVA,5.328000,5.255801
2021-06-08,BBVA,5.313000,5.274182
2021-06-09,BBVA,5.265000,5.261982
2021-06-10,BBVA,5.273000,5.261385
2021-06-11,BBVA,5.246000,5.256253
2021-06-14,BBVA,5.343000,5.291007
2021-06-15,BBVA,5.370000,5.333663
2021-06-16,BBVA,5.309000,5.335552
2021-06-17,BBVA,5.397000,5.363316
2021-06-18,BBVA,5.222000,5.291922
2021-06-21,BBVA,5.238000,5.253574
2021-06-22,BBVA,5.278000,5.267642
2021-06-23,BBVA,5.270000,5.292494
2021-06-24,BBVA,5.330000,5.336285
2021-06-25,BBVA,5.431000,5.405246
2021-06-28,BBVA,5.277000,5.388466
2021-06-29,BBVA,5.292000,5.374603
2021-06-30,BBVA,5.228000,5.338278
2021-07-01,BBVA,5.409000,5.383074
2021-07-02,BBVA,5.295000,5.383994
2021-07-05,BBVA,5.429000,5.420922
2021-07-06,BBVA,5.284000,5.404508
2021-07-07,BBVA,5.220000,5.366808
2021-07-08,BBVA,5.049000,5.289810
2021-07-09,BBVA,5.227000,5.294031
2021-07-12,BBVA,5.258000,5.318033
2021-07-13,BBVA,5.148000,5.308736
2021-07-14,BBVA,5.170000,5.302853
2021-07-15,BBVA,5.196000,5.312386
2021-07-16,BBVA,5.090000,5.287241
2021-07-19,BBVA,4.914000,5.214162
2021-07-20,BBVA,5.026000,5.192868
2021-07-21,BBVA,5.224000,5.243833
2021-07-22,BBVA,5.251000,5.300320
2021-07-23,BBVA,5.366000,5.365162
2021-07-26,BBVA,5.480000,5.427240
2021-07-27,BBVA,5.443000,5.453339
2021-07-28,BBVA,5.372000,5.438059
2021-07-29,BBVA,5.412000,5.433470
2021-07-30,BBVA,5.411000,5.424605
2021-08-02,BBVA,5.450000,5.430558
2021-08-03,BBVA,5.570000,5.480353
2021-08-04,BBVA,5.664000,5.552210
2021-08-05,BBVA,5.653000,5.597655
2021-08-06,BBVA,5.762000,5.653682
2021-08-09,BBVA,5.760000,5.693106
2021-08-10,BBVA,5.826000,5.728603
